Country,League,Club,Player Names,Mins,Goals,xG,On Target Per Avg Match,Year
USA,MLS,(HDY),Mauro Manotas,2717,13,14.01,1.01,2019
USA,MLS,(COL),Brian Fernandez,1555,11,8.18,1.83,2019
USA,MLS,(TOR),Alejandro Pozuelo,3104,14,9.8,1.16,2019
USA,MLS,(SKC),Felipe Gutierrez,2905,12,9.48,0.92,2019
USA,MLS,(SOU),Jordan Morris,2521,13,9.55,0.9,2019
USA,MLS,(SOU),Raul Ruidiaz,2346,15,15.31,1.5,2019
USA,MLS,(TOR),Jozy Altidore,1834,12,8.69,1.29,2019
USA,MLS,(LAF),Carlos Vela,3128,36,25.35,2.28,2019
USA,MLS,(VID),Nemanja Nikolic,2118,12,14.05,0.99,2019
USA,MLS,(NYC FC),Alexandru Mitrita,2398,12,7.07,1.35,2019
Spain,La Liga,(ATL),Luis Suarez,2126,16,14.32,1.88,2019
Spain,La Liga,(RMA),Karim Benzema,3207,21,21.61,1.75,2019
Spain,La Liga,(ALA),Joselu,2990,11,13.22,0.95,2019
Spain,La Liga,(SEV),Carlos Fernandez,2428,10,10.48,0.74,2019
Spain,La Liga,(OSA),Ante Budimir,2923,13,12.31,0.72,2019
Spain,La Liga,(SOC),Mikel Oyarzabal,3247,10,8.89,0.64,2019
Spain,La Liga,(SOC),Willian Jose,2171,11,13.03,0.83,2019
Spain,La Liga,(VIL),Gerard Moreno,2831,18,16.09,1.14,2019
Spain,La Liga,(ALA),Lucas Perez,2673,11,11.25,0.64,2019
Spain,La Liga,(BET),Loren Moron,2222,10,9.12,0.77,2019
Spain,La Liga,(BIL),Raul Garcla,3034,15,12.77,1.03,2019
Spain,La Liga,(JUV),Morata ,2248,12,17.27,1.27,2019
Spain,La Liga,(GET),Angel Rodriguez,1611,10,8.14,1.36,2019
Spain,La Liga,(BAR),Lionel Messi,3067,25,21.63,2.11,2019
Spain,La Liga,(RMA),Sergio Ramos,3100,11,11.09,0.52,2019
Spain,La Liga,(SEV),Lucas Ocampos,2929,14,13.26,1.17,2019
Spain,La Liga,Santi,Cazorla ,2513,11,8.73,0.91,2019
Spain,La Liga,(LEV),Roger ,2436,11,11.54,0.94,2019
Spain,La Liga,(GET),Jaime Mata,2923,11,12.0,0.75,2019
Spain,La Liga,(CEL),Iago Aspas,3474,14,15.72,1.07,2019
