Country,League,Club,Player Names,Mins,Goals,xG,On Target Per Avg Match,Year
Spain,La Liga,(LEV),Morales ,3180,10,10.71,0.75,2017
Spain,La Liga,(SEV),Munir ,2517,10,10.6,0.87,2017
Italy,Serie A,(FIO),Jose Callejon,3359,10,10.25,0.91,2017
Italy,Serie A,(LAZ),Sergej Milinkovic-Savic,3014,12,6.66,1.07,2017
Italy,Serie A,(ATA),Duvan Zapata,2229,11,9.39,0.94,2017
Italy,Serie A,(JUV),Paulo Dybala,2407,22,11.4,1.78,2017
Italy,Serie A,(IMI),Gonzalo Higuain,2935,16,12.05,1.29,2017
Italy,Serie A,(BAR),Mirco Antenucci,2735,11,8.06,0.9,2017
Italy,Serie A,(SAM),Fabio Quagliarella,2864,19,17.79,1.53,2017
Italy,Serie A,(LAZ),Luis Alberto,2797,11,6.77,0.85,2017
Italy,Serie A,(PAR),Roberto Inglese,2914,12,9.82,1.21,2017
Italy,Serie A,(TOR),Andrea Belotti,2854,10,11.72,0.93,2017
Italy,Serie A,(ATA),Josip Ilicic,2115,11,8.24,1.62,2017
Italy,Serie A,(CAG),Giovanni Simeone,3157,14,13.29,1.11,2017
Italy,Serie A,(INT),Ivan Perisic,3491,11,9.19,1.03,2017
Italy,Serie A,(ROM),Edin Dzeko,3177,16,16.39,1.67,2017
Italy,Serie A,(CAG),Leonardo Pavoletti,2897,11,11.28,1.11,2017
Italy,Serie A,(LAZ),Ciro Immobile,2799,29,19.15,1.8,2017
Italy,Serie A,(NAP),Dries Mertens,3133,18,16.16,1.43,2017
Italy,Serie A,(PSG),Mauro Icardi,3096,29,23.14,1.63,2017
Italy,Serie A,(UDI),Kevin Lasagna,2244,12,11.34,1.31,2017
Italy,Serie A,(BEN),Iago Falque,2950,12,9.01,0.71,2017
Germany,Bundesliga,(BAY),Robert Lewandowski,2247,29,26.49,2.28,2017
Germany,Bundesliga,(SVW),Niclas Fullkrug,2507,14,12.14,1.25,2017
Germany,Bundesliga,(STP),Guido Burgstaller,2447,11,8.24,0.97,2017
Germany,Bundesliga,(BOT),Salomon Kalou,2272,12,9.33,0.96,2017
Germany,Bundesliga,(DOR),Thorgan Hazard,3062,10,12.89,1.02,2017
Germany,Bundesliga,(NAN),Jean-Kevin Augustin,1330,9,6.16,1.29,2017
Germany,Bundesliga,(BAY),Serge Gnabry,1555,10,5.57,1.41,2017
Germany,Bundesliga,(HOF),Andrej Kramaric,2353,13,9.66,1.41,2017
Germany,Bundesliga,(SCF),Nils Petersen,2362,15,11.93,0.97,2017
Germany,Bundesliga,,Sandro Wagner ,1666,12,10.0,1.48,2017
Germany,Bundesliga,(CHE),Timo Werner,2596,13,13.39,1.46,2017
Germany,Bundesliga,(LEV),Leon Bailey,2317,9,7.56,1.11,2017
Germany,Bundesliga,(VfB),Daniel Didavi,2312,9,3.89,0.78,2017
Germany,Bundesliga,(FCA),Alfred Finnbogason,1879,12,11.08,1.26,2017
Germany,Bundesliga,(SVW),Davie Selke,1974,10,8.1,1.06,2017
Germany,Bundesliga,(SCH),Mark Uth,2279,14,9.84,0.88,2017
Germany,Bundesliga,(FCA),Michael Gregoritsch,2626,13,10.78,1.3,2017
Germany,Bundesliga,(DOR),Julian Brandt,2419,9,6.37,0.86,2017
Germany,Bundesliga,(MON),Kevin Volland,2693,14,8.79,0.99,2017
Germany,Bundesliga,(ARS),Pierre-Emerick Aubameyang,1480,13,16.36,1.73,2017
Brazil,Campeonato Brasileiro S̩rie A,(OPE),Roger ,1465,11,8.64,1.3,2017
Brazil,Campeonato Brasileiro S̩rie A,(CRU),Arthur Caike,2824,8,7.73,0.84,2017
Brazil,Campeonato Brasileiro S̩rie A,(BEN),Everton ,1224,8,9.53,2.33,2017
Brazil,Campeonato Brasileiro S̩rie A,(SAP),Hernanes ,1222,9,5.27,1.79,2017
Brazil,Campeonato Brasileiro S̩rie A,,Luiz Fernando,1792,9,6.04,1.17,2017
Brazil,Campeonato Brasileiro S̩rie A,(FOR),Wellington Paulista,2278,9,9.35,1.25,2017
Brazil,Campeonato Brasileiro S̩rie A,(FLU),Fred ,1865,12,12.56,1.22,2017
Brazil,Campeonato Brasileiro S̩rie A,(SAP),Santiago Trellez,1694,10,7.67,1.12,2017
Brazil,Campeonato Brasileiro S̩rie A,(COR),Jo,2847,18,16.78,1.3,2017
Brazil,Campeonato Brasileiro S̩rie A,(SCR),Thiago Neves,2383,9,10.54,2.03,2017
Brazil,Campeonato Brasileiro S̩rie A,(FLA),Bruno Henrique,2136,8,10.57,1.07,2017
Brazil,Campeonato Brasileiro S̩rie A,,Dudu ,1751,10,6.82,1.25,2017
Brazil,Campeonato Brasileiro S̩rie A,(FLA),Diego ,2089,10,7.92,1.0,2017
Brazil,Campeonato Brasileiro S̩rie A,(GRE),Diego Souza,1953,11,11.72,1.46,2017
Brazil,Campeonato Brasileiro S̩rie A,(FLU),Lucca ,2933,13,11.11,1.3,2017
Brazil,Campeonato Brasileiro S̩rie A,,Henrique Dourado,2472,19,14.83,1.42,2017
Brazil,Campeonato Brasileiro S̩rie A,,Andre,2931,16,14.81,1.1,2017
Brazil,Campeonato Brasileiro S̩rie A,,Edigar Junio ,1547,12,11.4,1.78,2017
Brazil,Campeonato Brasileiro S̩rie A,,Junior  Dutra,2022,9,10.43,1.17,2017
Brazil,Campeonato Brasileiro S̩rie A,(GRE),Luiz Fernando,1769,9,5.96,0.86,2017
Spain,La Liga,(RMA),Karim Benzema,3072,21,17.46,1.36,2018
Spain,La Liga,(VAL),Maxi Gomez,3148,13,12.92,0.84,2018
Spain,La Liga,(CEL),Iago Aspas,2369,20,12.47,1.28,2018
Spain,La Liga,(GET),Jaime Mata,2569,14,12.44,0.92,2018
Spain,La Liga,(BIL),Inaki Williams,3148,12,13.59,1.0,2018
Spain,La Liga,(GIR),Cristhian Stuani,2897,19,16.47,1.28,2018
Spain,La Liga,(OSA),Chimy Avila,2131,10,7.63,1.07,2018
Spain,La Liga,(ESP),Raul de Tomas,2964,14,16.22,1.51,2018
Spain,La Liga,(ATL),Luis Suarez,2954,21,24.88,1.87,2018
Spain,La Liga,(LEV),Roger ,1999,13,14.1,1.43,2018
Spain,La Liga,(SOC),Willian Jose,2471,12,11.7,1.0,2018
Spain,La Liga,(PSG),Pablo Sarabia,2877,13,11.81,1.02,2018
Spain,La Liga,(SOC),Mikel Oyarzabal,3300,13,11.12,0.81,2018
Spain,La Liga,(BAR),Antoine Griezmann,3349,15,14.45,1.28,2018
Spain,La Liga,(BET),Borja Iglesias,3246,17,16.4,1.11,2018
Spain,La Liga,(BAR),Lionel Messi,2849,36,25.49,2.9,2018
Spain,La Liga,(GRA),Jorge Molina,2819,14,11.28,0.78,2018
Spain,La Liga,,Charles,1861,14,13.91,1.53,2018
Spain,La Liga,(MON),Wissam Ben Yedder,2975,18,17.22,1.15,2018
Spain,La Liga,(LEV),Morales ,3381,12,13.52,0.93,2018
Italy,Serie A,(NAP),Arkadiusz Milik,2560,17,12.4,1.89,2018
Italy,Serie A,(ATA),Duvan Zapata,3064,23,18.38,1.55,2018
Italy,Serie A,(NAP),Lorenzo Insigne,2191,10,9.23,1.6,2018
Italy,Serie A,(JUV),Cristiano Ronaldo,2857,21,21.65,2.26,2018
Italy,Serie A,(LAZ),Ciro Immobile,3046,15,15.71,1.53,2018
Italy,Serie A,(TOR),Andrea Belotti,3533,15,15.99,1.26,2018
Italy,Serie A,(SAM),Fabio Quagliarella,3269,26,23.06,1.66,2018
Italy,Serie A,Mario,Mandzukic None,2125,9,6.49,0.76,2018
Italy,Serie A,(ROM),Edin Dzeko,2741,9,13.56,1.73,2018
Italy,Serie A,(NAP),Andrea Petagna,3196,16,12.78,1.22,2018
Italy,Serie A,(PAR),Roberto Inglese,2075,9,7.86,0.96,2018
Italy,Serie A,(ATA),Josip Ilicic,2262,12,9.29,1.6,2018
Italy,Serie A,(SAS),Francesco Caputo,3641,16,16.1,1.12,2018
Italy,Serie A,(CAG),Leonardo Pavoletti,2903,16,11.0,1.08,2018
Italy,Serie A,(SAS),Gregoire Defrel,2388,11,8.3,0.91,2018
Italy,Serie A,(NAP),Dries Mertens,2416,16,10.43,1.53,2018
Italy,Serie A,,Stephan El Shaarawy,2213,11,7.22,1.29,2018
Italy,Serie A,(PAR),Gervinho ,2430,11,6.91,0.74,2018
Italy,Serie A,(PSG),Mauro Icardi,2314,11,14.86,1.19,2018
Italy,Serie A,(BSC),Krzysztof Piatek,3147,23,17.23,1.57,2018
Germany,Bundesliga,(HOF),Andrej Kramaric,2527,16,19.42,1.62,2018
Germany,Bundesliga,(BMG),Alassane Plea,2613,12,11.28,1.49,2018
Germany,Bundesliga,(CHE),Kai Havertz,3033,16,11.17,1.32,2018
Germany,Bundesliga,(RMA),Luka Jovic,2353,17,14.12,1.7,2018
Germany,Bundesliga,(ACM),Ante Rebic,2075,11,9.17,1.28,2018
Germany,Bundesliga,(DOR),Jadon Sancho,2602,13,6.85,0.77,2018
Germany,Bundesliga,(FCA),Alfred Finnbogason,1385,10,10.21,1.23,2018
Germany,Bundesliga,(KOL),Ondrej Duda,2661,11,5.88,0.71,2018
Germany,Bundesliga,(VIL),Paco Alcacer,1312,18,9.39,1.96,2018
Germany,Bundesliga,(CHE),Timo Werner,2582,16,15.49,1.43,2018
Germany,Bundesliga,(SCH),Benito Raman,1781,10,6.19,1.39,2018
Germany,Bundesliga,(MON),Kevin Volland,2945,14,12.4,1.39,2018
Germany,Bundesliga,(WOB),Wout Weghorst,3061,17,16.11,1.06,2018
Germany,Bundesliga,(HOF),Ishak Belfodil,1965,18,10.14,1.74,2018
Germany,Bundesliga,(DOR),Marco Reus,2432,17,13.31,1.29,2018
Germany,Bundesliga,(MAI),Jean-Philippe Mateta,2587,14,11.71,1.25,2018
Germany,Bundesliga,(WHU),Sebastien Haller,2312,15,12.17,1.07,2018
Germany,Bundesliga,(UNB),Max Kruse,2975,11,9.39,1.28,2018
Germany,Bundesliga,(BAY),Robert Lewandowski,3090,22,29.27,1.57,2018
Germany,Bundesliga,(RBL),Yussuf Poulsen,2556,15,10.76,1.0,2018
France,France Ligue 11,(PSG),Angel Di Maria,2418,12,10.44,1.18,2018
France,France Ligue 20,(BOR),Remi Oudin,2719,10,7.73,0.84,2018
France,France Ligue 2,(ARS),Nicolas Pepe,3533,22,20.08,1.61,2018
France,France Ligue 12,(CAE),Emiliano Sala,1434,12,6.19,1.19,2018
France,France Ligue 9,(LIL),Jonathan Bamba,3190,13,7.39,0.83,2018
France,France Ligue 15,(REN),M'Baye Niang,1911,11,7.44,1.24,2018
France,France Ligue 6,(PSG),Neymar ,1517,15,12.62,1.57,2018
France,France Ligue 3,(MNU),Edinson Cavani,1747,18,16.73,1.2,2018
France,France Ligue 16,(ANG),Stephane Bahoken,2541,11,8.56,1.23,2018
France,France Ligue 14,(SIV),Max Gradel,3446,11,14.51,1.16,2018
France,France Ligue 4,(MAR),Florian Thauvin,2741,16,11.25,1.21,2018
France,France Ligue 1,(PSG),Kylian Mbappe-Lottin,2488,33,31.17,2.67,2018
France,France Ligue 10,(STE),Wahbi Khazri,3000,13,10.74,1.14,2018
France,France Ligue 7,(GAL),Falcao ,2699,15,14.21,1.44,2018
France,France Ligue 13,(MPE),Gaetan Laborde,3115,11,8.53,0.82,2018
France,France Ligue 8,(MPE),Andy Delort,3263,14,13.05,1.05,2018
France,France Ligue 5,(LYO),Moussa Dembele,2154,15,14.74,1.72,2018
France,France Ligue 19,(LYO),Memphis Depay,2900,10,13.43,1.28,2018
France,France Ligue 18,(STR),Lebo Mothiba,2154,10,7.03,0.84,2018
France,France Ligue 17,(LOK),Francois Kamano,2698,10,9.09,1.16,2018
England,Premier League,(CRY),Luka Milivojevic,3651,12,11.15,0.62,2018
England,Premier League,(BOU),Joshua King,3143,12,13.56,0.7,2018
England,Premier League,(MNU),Paul Pogba,3233,13,15.99,1.44,2018
England,Premier League,(LIV),Mohamed Salah,3417,22,20.5,1.75,2018
England,Premier League,(BUR),Ashley Barnes,2569,12,13.25,1.11,2018
England,Premier League,(WAT),Glenn Murray,2684,13,11.58,0.74,2018
England,Premier League,(EVE),Richarlison ,2822,14,11.88,0.94,2018
England,Premier League,(LIV),Sadio Mane,3236,22,15.33,1.23,2018
England,Premier League,(NEW),Callum Wilson,2714,14,14.57,1.02,2018
England,Premier League,(TOT),Son Heung-Min,2152,12,7.02,1.28,2018
England,Premier League,(TOT),Harry Kane,2580,17,15.48,1.69,2018
England,Premier League,(MNC),Sergio Aguero,2566,21,19.45,1.59,2018
England,Premier League,(RMA),Eden Hazard,3115,16,10.82,1.31,2018
England,Premier League,(ARS),Pierre-Emerick Aubameyang,2905,22,21.71,1.28,2018
England,Premier League,(EVE),Gylfi Sigurdsson,3302,13,11.12,0.95,2018
England,Premier League,(MNC),Raheem Sterling,2930,17,14.19,1.23,2018
England,Premier League,(LEI),Jamie Vardy,2886,18,17.62,1.25,2018
England,Premier League,(LEI),Ayoze Perez,3099,12,7.83,0.83,2018
England,Premier League,(ARS),Alexandre Lacazette,2670,14,11.52,1.0,2018
England,Premier League,(WOL),Raul Jimenez,3285,13,15.91,0.95,2018
Brazil,Campeonato Brasileiro S̩rie A,(LYO),Lucas Paqueta,2962,10,9.04,1.28,2018
Brazil,Campeonato Brasileiro S̩rie A,(BEN),Everton ,2175,9,12.59,1.66,2018
Brazil,Campeonato Brasileiro S̩rie A,(COR),Juan Cazares,2487,8,5.76,0.69,2018
Brazil,Campeonato Brasileiro S̩rie A,(ALA),Deyverson ,1367,9,7.63,1.32,2018
Brazil,Campeonato Brasileiro S̩rie A,(SAP),Pablo ,2808,12,10.94,0.98,2018
Brazil,Campeonato Brasileiro S̩rie A,,Leandro Damiao ,3236,10,13.28,0.79,2018
Brazil,Campeonato Brasileiro S̩rie A,(VDG),Yago Pikachu,3192,10,11.09,1.1,2018
Brazil,Campeonato Brasileiro S̩rie A,(RMA),Rodrygo ,2850,8,8.1,0.77,2018
Brazil,Campeonato Brasileiro S̩rie A,(SJE),Andres Rios,2188,7,7.37,0.78,2018
Brazil,Campeonato Brasileiro S̩rie A,,Roger Guedes ,1081,9,6.14,1.76,2018
Brazil,Campeonato Brasileiro S̩rie A,,Leandro Pereira ,2575,11,10.03,1.22,2018
Brazil,Campeonato Brasileiro S̩rie A,(GRE),Diego Souza,4177,11,11.43,0.48,2018
Brazil,Campeonato Brasileiro S̩rie A,(FLA),Pedro ,1689,9,9.07,1.01,2018
Brazil,Campeonato Brasileiro S̩rie A,(TIG),Nico Lupez,3931,11,8.69,0.8,2018
Brazil,Campeonato Brasileiro S̩rie A,(FLU),Nene ,2636,8,7.49,0.72,2018
Brazil,Campeonato Brasileiro S̩rie A,(CFC),Ricardo Oliveira,3231,13,16.67,1.21,2018
Brazil,Campeonato Brasileiro S̩rie A,(BAH),Gilberto ,1623,8,7.0,1.0,2018
Brazil,Campeonato Brasileiro S̩rie A,Bruno,Henrique ,2595,9,4.37,0.55,2018
Brazil,Campeonato Brasileiro S̩rie A,(PAL),Willian ,2153,10,10.2,1.28,2018
Brazil,Campeonato Brasileiro S̩rie A,(FLA),Gabriel Barbosa,3140,18,19.17,1.21,2018
USA,MLS,(LAF),Diego Rossi,3277,17,12.07,1.45,2019
USA,MLS,(ATA),Josef Martinez,3050,28,25.04,1.62,2019
USA,MLS,(ACM),Zlatan Ibrahimovic,2998,31,22.72,2.12,2019
USA,MLS,(SJE),Chris Wondolowski,2169,15,14.61,1.45,2019
USA,MLS,(ORL),Nani ,2464,12,8.82,0.96,2019
USA,MLS,(PHI),Kacper Przybylko,2420,15,12.23,1.45,2019
USA,MLS,(MIN),Kei Kamara,2740,14,17.59,1.53,2019
USA,MLS,(CHF),C.J. Sapong,2734,13,11.22,0.87,2019
USA,MLS,(CCR),Gyasi Zardes,2657,13,15.1,0.93,2019
USA,MLS,(NYC),Heber ,1742,15,11.37,1.42,2019
